school,sex,paid,famrel,freetime,goout,Dalc,Walc,health,absences,grade
GP,F,no,4,3,,1,2,3,0,0
GP,F,no,4,3,2.0,1,1,5,0,9
GP,M,no,5,3,3.0,1,3,2,6,4
GP,F,yes,3,4,4.0,1,4,5,2,5
GP,F,no,4,3,,1,1,3,0,0
GP,F,yes,4,4,4.0,3,3,5,2,5
GP,M,yes,4,3,2.0,4,5,3,14,3
GP,M,no,4,2,2.0,1,2,3,2,9
GP,F,no,4,2,4.0,1,1,4,14,5
GP,M,yes,5,4,2.0,1,2,5,10,9
MS,F,yes,5,3,3.0,1,3,4,2,4
MS,M,yes,4,2,2.0,2,2,5,0,7
GP,M,yes,4,3,2.0,1,1,5,0,9
GP,M,yes,5,4,2.0,1,1,4,8,8
GP,F,no,5,3,2.0,1,2,3,18,1
GP,M,no,5,4,2.0,1,1,5,8,3
GP,F,yes,4,5,5.0,1,3,2,4,8
GP,F,no,4,4,4.0,1,1,4,0,0
MS,M,yes,4,5,4.0,2,3,3,2,7
GP,F,yes,4,4,3.0,1,1,3,2,5
GP,M,no,5,2,4.0,1,4,5,20,2
GP,F,yes,3,1,2.0,1,1,3,6,11
MS,F,yes,5,4,3.0,3,4,2,4,4
GP,F,no,4,2,4.0,2,2,3,0,0
GP,M,no,5,3,2.0,2,2,5,2,8
GP,M,yes,4,5,5.0,4,4,5,4,6
GP,F,yes,4,3,3.0,1,1,4,4,4
MS,M,no,2,4,5.0,3,4,2,3,10
GP,F,yes,4,4,4.0,1,1,3,0,0
GP,F,no,4,3,3.0,1,1,2,0,0
GP,M,yes,4,2,3.0,1,2,5,0,9
GP,F,yes,4,3,2.0,1,2,5,4,4
GP,F,no,4,3,3.0,1,1,4,10,5
GP,M,yes,5,4,4.0,3,4,5,2,4
MS,M,yes,4,5,5.0,1,3,2,4,5
GP,M,yes,3,1,3.0,1,3,5,4,4
GP,F,no,4,3,2.0,1,1,5,0,9
GP,F,no,3,3,3.0,1,3,3,6,3
GP,M,no,4,3,1.0,1,1,1,12,5
GP,F,yes,4,3,3.0,1,2,4,4,8
GP,M,no,5,3,3.0,1,1,5,0,0
GP,M,yes,4,3,3.0,1,3,5,2,8
GP,M,no,4,4,1.0,1,1,1,0,9
GP,F,yes,4,3,3.0,1,2,5,4,1
GP,F,no,2,4,4.0,1,1,4,15,2
GP,F,no,4,1,2.0,1,1,3,14,7
GP,F,no,4,3,3.0,2,2,5,14,3
GP,M,no,5,4,5.0,2,4,5,0,0
GP,M,yes,3,3,,1,2,3,2,5
GP,F,no,5,3,4.0,1,3,3,10,9
GP,F,yes,3,4,1.0,1,1,2,0,0
GP,M,no,5,5,3.0,1,1,5,0,11
GP,F,yes,4,4,3.0,1,3,4,6,4
GP,M,yes,3,5,5.0,2,5,4,8,11
GP,M,yes,4,4,3.0,1,3,5,4,5
GP,M,no,4,5,2.0,1,1,3,0,10
MS,F,no,5,3,4.0,1,1,5,0,3
GP,M,no,5,4,5.0,1,2,5,0,0
GP,M,no,5,5,4.0,3,5,2,0,0
GP,F,no,4,3,2.0,1,1,5,0,0
GP,M,yes,4,4,2.0,1,1,3,12,4
GP,M,no,4,3,3.0,2,2,3,3,5
GP,F,yes,4,3,5.0,1,1,5,2,4
GP,M,no,4,4,4.0,1,1,3,0,5
GP,F,no,4,3,3.0,1,1,5,0,0
GP,F,yes,1,2,2.0,1,2,1,14,6
GP,F,yes,4,3,5.0,1,1,2,26,1
GP,M,no,5,3,3.0,1,4,2,2,4
GP,F,yes,2,3,4.0,2,3,2,0,0
MS,M,yes,5,5,4.0,4,5,4,11,3
MS,M,no,4,4,3.0,2,3,5,2,6
